"","line","Authors","Year","Title","Journal","DOI"
"1","Mitchell, J.C., and Smallwood, P.D. 2013.  Lampropeltis getula (Eastern Kingsnake) and Chelydra serpentina (Snapping Turtle). Catesbeiana. 33:25-26.","Mitchell, J.C., and Smallwood, P.D.","2013","Lampropeltis getula (Eastern Kingsnake) and Chelydra serpentina (Snapping Turtle).","Catesbeiana. 33:25-26",""
"2","*Albrecht-Mallinger, D. and Bulluck, L. P. 2016. Limited Evidence for Conspecific Attraction in a Low-Density Population of a Declining Songbird, the Golden-winged Warbler (Vermivora chrysoptera). The Condor. 118(3):451-462. https://doi.org/10.1650/CONDOR-15-217.1 ","*Albrecht-Mallinger, D. and Bulluck, L. P.","2016","Limited Evidence for Conspecific Attraction in a Low-Density Population of a Declining Songbird, the Golden-winged Warbler (Vermivora chrysoptera).","The Condor. 118(3):451-462","https://doi.org/10.1650/CONDOR-15-217.1"
"3","*Atkins, J. W., Fahey, R. T., Hardiman, B. H., and Gough, C.M. (2018). Forest Canopy Structural Complexity and Light Absorption Relationships at the Subcontinental Scale. Journal of Geophysical Research: Biogeosciences. 123(4): 1387-1405. https://doi.org/10.1002/2017JG004256 ","*Atkins, J. W., Fahey, R. T., Hardiman, B. H., and Gough, C.M.","2018","Forest Canopy Structural Complexity and Light Absorption Relationships at the Subcontinental Scale.","Journal of Geophysical Research: Biogeosciences. 123(4): 1387-1405","https://doi.org/10.1002/2017JG004256"
"4","*Atkins, J., Walter, J., Stovall, A., Fahey, R., and Gough, C. 2022. Power-law scaling relationships link forest complexity and canopy height across forest types. Functional Ecology. 36(3):713-726.  https://doi.org/10.1111/1365-2435.13983.","*Atkins, J., Walter, J., Stovall, A., Fahey, R., and Gough, C.","2022","Power-law scaling relationships link forest complexity and canopy height across forest types.","Functional Ecology. 36(3):713-726","https://doi.org/10.1111/1365-2435.13983."
"5","*Atkins, JW, Bohrer, G., Fahey R., Hardiman, BS., Morin, TH., Stovall, AEL., Zimmerman, N., and Gough, C. M. 2018. Quantifying vegetation and canopy structural complexity from terrestrial LiDAR data using the forestr R package. Methods in Ecology and Evolution. 9:2057-2066. https://doi.org/10.1111/2041-210X.13061 ","*Atkins, JW, Bohrer, G., Fahey R., Hardiman, BS., Morin, TH., Stovall, AEL., Zimmerman, N., and Gough, C. M.","2018","Quantifying vegetation and canopy structural complexity from terrestrial LiDAR data using the forestr R package.","Methods in Ecology and Evolution. 9:2057-2066","https://doi.org/10.1111/2041-210X.13061"
"6","*Baker, S. A. and Dyer, R. J. 2011. Invasion genetics of Microstegium vimineum (Poaceae) within the James River Basin of Virginia, USA. Conservation Genetics.12(3): 793-803. https://doi.org/10.1007/s10592-011-0186-0 ","*Baker, S. A. and Dyer, R. J.","2011","Invasion genetics of Microstegium vimineum (Poaceae) within the James River Basin of Virginia, USA.","Conservation Genetics.12(3): 793-803","https://doi.org/10.1007/s10592-011-0186-0"
"7","*Balazik M.T., S.P. McIninch, G.C.Garman, M.L. Fine, and C.B. Smith. 2012. Using energy dispersive x-ray fluorescence microchemistry to infer migratory life history of Atlantic sturgeon. Environmental Biology of Fish. 95:191-194. https://doi.org/10.1007/s10641-012-9979-3 ","*Balazik M.T., S.P. McIninch, G.C.Garman, M.L. Fine, and C.B. Smith.","2012","Using energy dispersive x-ray fluorescence microchemistry to infer migratory life history of Atlantic sturgeon.","Environmental Biology of Fish. 95:191-194","https://doi.org/10.1007/s10641-012-9979-3"
"8","*Balazik, M., Langford, B., Garman, G., Fine, M., Stewart, J., Latour, R.,and McIninch, S. 2013. Comparison of MS-222 and electronarcosis on cortisol levels in juvenile Atlantic sturgeon. Transactions of the American Fisheries Society. 142:1640-1643. https://doi.org/10.1080/00028487.2013.824924 ","*Balazik, M., Langford, B., Garman, G., Fine, M., Stewart, J., Latour, R.,and McIninch, S.","2013","Comparison of MS-222 and electronarcosis on cortisol levels in juvenile Atlantic sturgeon.","Transactions of the American Fisheries Society. 142:1640-1643","https://doi.org/10.1080/00028487.2013.824924"
"9","*Balazik, M., McIninch, S., Garman, G., and Latour, R. 2012. Age and growth of Atlantic Sturgeon (Acipenser oxyrinchus oxyrinchus) in the James River, Virginia, USA, 1997-2011. Transactions of the American Fisheries Society. 141(4):1074-1080. https://doi.org/10.1080/00028487.2012.676590 ","*Balazik, M., McIninch, S., Garman, G., and Latour, R.","2012","Age and growth of Atlantic Sturgeon (Acipenser oxyrinchus oxyrinchus) in the James River, Virginia, USA, 1997-2011.","Transactions of the American Fisheries Society. 141(4):1074-1080","https://doi.org/10.1080/00028487.2012.676590"
"10","*Balazik, M., Reine, K., Spells, A., Frederickson, C., Fine, M., Garman, G., and McIninch, S. 2012. The potential for vessel interactions with adult Atlantic sturgeon in the James River, Virginia, USA. North American Journal of Fisheries Management. 32:1062-1069. https://doi.org/10.1080/02755947.2012.716016 ","*Balazik, M., Reine, K., Spells, A., Frederickson, C., Fine, M., Garman, G., and McIninch, S.","2012","The potential for vessel interactions with adult Atlantic sturgeon in the James River, Virginia, USA.","North American Journal of Fisheries Management. 32:1062-1069","https://doi.org/10.1080/02755947.2012.716016"
"11","*Balazik, M., and Musick, J.A. 2015. Dual Annual Spawning Races in Atlantic Sturgeon. PloS ONE. 10(5): e0128234. https://doi.org/10.1371/journal.pone.0128234 ","*Balazik, M., and Musick, J.A.","2015","Dual Annual Spawning Races in Atlantic Sturgeon.","PloS ONE. 10(5): e0128234","https://doi.org/10.1371/journal.pone.0128234"
"12","*Balazik, M.T, Garman, G.C., Van Eenennaam, J.P., Mohler, J., and Woods, L. C. III. 2012.  Empirical evidence of fall spawning by Atlantic Sturgeon in the James River, Virginia.  Transactions of the American Fisheries Society. 141:1465-1471. https://doi.org/10.1080/00028487.2012.703157 ","*Balazik, M.T, Garman, G.C., Van Eenennaam, J.P., Mohler, J., and Woods, L. C. III.","2012","Empirical evidence of fall spawning by Atlantic Sturgeon in the James River, Virginia.","Transactions of the American Fisheries Society. 141:1465-1471","https://doi.org/10.1080/00028487.2012.703157"
"13","*Balazik, M.T. 2015. Capture and brief invasive procedures using electronarcosis does not appear to affect post-release habits in Atlantic Sturgeon during the spawning season. North American Journal of Fisheries Management. 35(2):398-402. https://doi.org/10.1080/02755947.2015.1011358","*Balazik, M.T.","2015","Capture and brief invasive procedures using electronarcosis does not appear to affect post-release habits in Atlantic Sturgeon during the spawning season.","North American Journal of Fisheries Management. 35(2):398-402","https://doi.org/10.1080/02755947.2015.1011358"
"14","*Balazik, M.T., Garman, G. C., Fine, M. L., Hager, C. H., and McIninch, S. P. 2010. Changes in age composition and growth characteristics of Atlantic sturgeon (Acipenser oxyrinchus oxyrinchus) over 400 years. Biology Letters. 6:708-710. https://doi.org/10.1098/rsbl.2010.0144 ","*Balazik, M.T., Garman, G. C., Fine, M. L., Hager, C. H., and McIninch, S. P.","2010","Changes in age composition and growth characteristics of Atlantic sturgeon (Acipenser oxyrinchus oxyrinchus) over 400 years.","Biology Letters. 6:708-710","https://doi.org/10.1098/rsbl.2010.0144"
"15","*Berrier, D. L., *Rawls, M. S., McCallister, S. L., and Franklin, R. B. 2014. Influence of substrate quality and moisture availability on microbial communities and litter decomposition. Open Journal of Ecology. 4:421-433. https://doi.org/10.4236/oje.2014.48037 ","*Berrier, D. L., *Rawls, M. S., McCallister, S. L., and Franklin, R. B.","2014","Influence of substrate quality and moisture availability on microbial communities and litter decomposition.","Open Journal of Ecology. 4:421-433","https://doi.org/10.4236/oje.2014.48037"
"16","*Berrier, DJ., Neubauer, SC., and Franklin, R.B. 2022. Cooperative microbial interactions mediate community biogeochemical responses to saltwater intrusion in wetland soils. FEMS Microbiology Ecology. 98(3):fiac019. https://doi.org/10.1093/femsec/fiac019","*Berrier, DJ., Neubauer, SC., and Franklin, R.B.","2022","Cooperative microbial interactions mediate community biogeochemical responses to saltwater intrusion in wetland soils.","FEMS Microbiology Ecology. 98(3):fiac019","https://doi.org/10.1093/femsec/fiac019"
